gspread_row;use_area;tool_name;repo_owner;repo_name;main_branch;total_commits;last_commit_check;fork_count;stars_count;watchers_count;license_name;primary_language;is_archived
20;Data Validation;Cerberus;pyeve;cerberus;master;1145;False;211;2469;49;ISC License;Python;False
21;Data Visualization;dash;plotly;dash;dev;3651;False;1467;14468;400;MIT License;Python;False
22;Data Visualization;Facets;PAIR-code;facets;master;264;False;843;6567;276;Apache License 2.0;Jupyter Notebook;False
23;Data Visualization;Metabase;metabase;metabase;master;20586;False;3313;24761;635;Other;Clojure;False
24;Data Visualization;Redash;getredash;redash;master;7232;False;3239;18695;585;BSD 2-Clause "Simplified" License;Python;False
25;Data Visualization;Superset;apache;superset;master;7434;False;7296;38439;1446;Apache License 2.0;Python;False
26;Feature Store;Butterfree;quintoandar;butterfree;staging;271;False;20;147;79;Apache License 2.0;Python;False
27;Feature Store;ByteHub;bytehub-ai;bytehub;master;95;False;0;20;1;GNU General Public License v3.0;Python;False
28;Feature Store;Feast;feast-dev;feast;master;1639;False;305;1838;60;Apache License 2.0;Python;False
29;Hyperparameter Tuning;Hyperas;maxpumperla;hyperas;master;209;False;305;2089;62;MIT License;Python;True
30;Hyperparameter Tuning;Hyperopt;hyperopt;hyperopt;master;1172;False;883;5591;129;Other;Python;False
31;Hyperparameter Tuning;Katib;kubeflow;katib;master;809;False;263;976;65;Apache License 2.0;Jsonnet;False
32;Hyperparameter Tuning;optuna;optuna;optuna;master;9857;False;502;4524;132;MIT License;Python;False
33;Hyperparameter Tuning;Scikit Optimize;scikit-optimize;scikit-optimize;master;1557;False;404;2104;64;BSD 3-Clause "New" or "Revised" License;Python;False
34;Model Interpretability;Alibi;SeldonIO;alibi;master;266;False;127;982;43;Apache License 2.0;Python;False
35;Model Interpretability;InterpretML;interpretml;interpret;develop;1645;False;465;3732;143;MIT License;C++;False
36;Model Interpretability;LIME;marcotcr;lime;master;508;False;1434;8709;280;BSD 2-Clause "Simplified" License;JavaScript;False
37;Model Interpretability;SHAP;slundberg;shap;master;1927;False;1857;12580;241;MIT License;Jupyter Notebook;False
38;Model Lifecycle;Mlflow;mlflow;mlflow;master;1990;False;2019;9300;269;Apache License 2.0;Python;False
39;Model Lifecycle;ModelDB;VertaAI;modeldb;master;2723;False;235;1205;65;Apache License 2.0;Java;False
40;Model Lifecycle;Replicate;replicate;keepsake;main;788;False;56;1462;11;Apache License 2.0;Python;False
41;Model Lifecycle;Sacred;IDSIA;sacred;master;1305;False;319;3439;86;MIT License;Python;False
42;Model Serving;BentoML;bentoml;BentoML;master;1072;False;275;2428;48;Apache License 2.0;Python;False
43;Model Serving;BudgetML;ebhy;budgetml;main;96;False;48;1189;26;Apache License 2.0;Python;False
44;Model Serving;Cortex;cortexlabs;cortex;master;2096;False;573;7490;158;Apache License 2.0;Go;False
45;Model Serving;GraphPipe;oracle;graphpipe;master;29;True;108;719;57;Other;Makefile;True
46;Model Serving;KFServing;kubeflow;kfserving;master;759;False;379;902;44;Apache License 2.0;Jsonnet;False
47;Model Serving;PredictionIO;apache;attic-predictionio;develop;4495;True;2021;12508;773;Apache License 2.0;Scala;True
48;Model Serving;Streamlit;streamlit;streamlit;develop;4081;False;1247;14462;251;Apache License 2.0;Python;False
49;Model Serving;TensorFlow Serving;tensorflow;serving;master;6061;False;1972;5015;241;Apache License 2.0;C++;False
50;Model Serving;TorchServe;pytorch;serve;master;1271;False;284;1763;51;Apache License 2.0;Java;False
